name,status,comment,rate,zan
亵渎电影,看过,看了点映，果然拍得很好！大鹏导演越来越厉害了，在这样一部电影里，不仅可以自如地拿捏各种社会话题的题材舒适度，还可以熟练地杂糅几种电影类型，就连最难拿捏的喜剧部分，也丝毫不会让人觉得尬。感觉这是一种来自人群中，带着烟火气的创作，没有高高在上和自以为是，把“造谣一张嘴，辟谣跑断腿”这种互联网时代常见的事情拍出了侠气。该上价值的时候，“做自己觉得对的事”这个简单普世的价值，也能用充满温情的方式讲了出来，最后的“666”让人在不知不觉中跟着主角一起泪目。不管是主线里男主和客服的萍水相逢，还是父女支线里的父女和解，都处理得不落俗套，我非常喜欢父女线的处理方式，让你看到助人为乐时才会感受到勇敢、心安和快乐。电影的完成度很棒，兼顾了社会话题，作者表达和商业性，虽是喜剧，看到最后却是普通人的心酸不易。,推荐,66
重耳,看过,cuc点映场，片方就是不点我们这些学电影的，狂点自己的人发表演讲,还行,53
杨迪,看过,电影《保你平安》上映了，上海路演时我第一次看全片，个中情节看得我泪流满面，感同身受，它的立意在网络言论横行的时代显得弥足珍贵。当大家面对某个信息时，自己独立的思考和判断太重要了，有时候再等等可能会有另一种结果。一些“眼见为实”的真相会惹得你义愤填膺，怀着正义的心也有可能惹下错误之举。一部电影，一些只言片语，影响虽是有限的，愿每一位看了《保你平安》的你我都永远坚信【善恶到头终有报，人间自有真情在】，保持善良，平安心安。,力荐,207
泽利格,看过,这电影到底从哪里看出来的外貌歧视的？女儿那条线就是因为身上很大的胎记被同学霸凌啊，从被霸凌到不再穿长裤不就是反抗吗，是反派小姑娘外貌歧视又不是电影外貌歧视，看价值观要看主角的价值观吧？？？说这些话的都什么毛病啊，张嘴就来,推荐,107
momo（打拳版,看过,就算是真的坐台小姐，坐台赚的钱全捐给福利院了，这还不高尚吗？？,力荐,165
方也也会失眠吗,看过,真诚地讲了故事，但对讨论其中所涉主题无甚启发。男性导演爱拍的裤裆段子和动作戏令人疲劳。,还行,55
连城易脆,看过,起初看到一水儿的好评，基于行业敏感性还以为是公关营销工作做得很到位，不过看到胤祥老师和大奇特都给了4星，就觉得应该还不赖。实际看完也的确不负期待，大鹏的确是个认真创作的人，他确实不糊弄，想要好好拍电影。因此，你可以很容易通过这部电影感知到他在类型片创作上的进一步成熟以及对于社会问题的敏锐捕捉，同时结合了较为感性又深邃的个人表达。电影的题材相当好，尤其是在这样一个造谣传谣遍地的移动互联网时代，很容易产生共情，如若也曾受过谣言中伤，想必就更能体会片中人物的动机了。另外电影片尾的🎆很棒，字幕的电子烟花也很美！看到一半惊闻电影撤档感到非常可惜，可能还是觉得大盘太冷了吧，至少这次可以肯定的是并非口碑不过硬，内容上也没看出啥敏感问题。期待早日重新定档上映，电影非常适合这个冬天。,推荐,54
大上海红牡丹,看过,大鹏的“真诚”里永远透露着一种算计，本片显得特别油腔滑调，个人观感不如《缝纫机乐队》。,较差,450
万事好运气,看过,投机不纯粹女性看完极度不适,很差,141
谢谢你们的鱼,看过,真诚真是一个巨大的武器，说它是近10年国内最好的商业喜剧一点也不为过。有态度，有表达，剧作工整，情感真挚，质感落地，喜剧桥段有趣，以悬疑片的方式、喜剧片的风格去包装言之有物的主题表达，太喜欢了，大鹏越来越棒了！,推荐,109
岬,看过,对于她是否是坐台小姐决定她是否有资格像个正常人一样被安葬这点非常隔应。如鲠在喉，一直。就算在正义感煽情处生理性流了泪。宽容点的话闭着眼可以松松给个四星但是实在是做不到。还是在妇女节这天。,还行,51
相信电影,看过,魏平安的女儿这条线我觉得设计得非常好，父女间的相互影响和同步觉醒，不仅让故事更加丰满，也让这份正义感更加厚重，更加有魅力；【人言可畏】的现实意义，通过喜剧的形式表达出来，依然是字字戳心！,推荐,58
Imperfections,看过,警惕電影院的迷魂湯效，沈浸式追隨魏平安視覺會讓你忽略一些（或許也致命）的缺陷，就他追討死者清白這事，就是讓妓女與非妓女（更高等，更正義）劃清界線，皮肉就是辱名，就連在墓地了都不能跟愛人比鄰。流言的反應是肯定了社會依舊持有同樣的觀念。另一點是馬總對弟弟奇怪的懷疑態度，知道他們的戀人關係但她真就信了，還搞移墓？她的作用是帶公權力介入，找骨灰盒的警察圍堵火車站、目擊最初造謠者落網並給予裁決，付諸法律是許多這類影片的結局：天真。用一個高中肄業蹲過大牢、只能在陵園工作但活得趾高氣揚的人做主角，因為他不需要考慮太多事，他的思想不複雜，沒有被教育和上層階級擾亂，還保留著初中時代認的死理：信心安。理想化的追（真就能找到傳謠的、還一人牽帶一人）終於意識化的神靈馬（草原），兩段後插彩蛋不定實際發生-婚禮是假的。,还行,51
薄荷牛奶不加糖,看过,虽然说的比较浅，但也比很多打着为女性发声的电影好很多了，是大鹏近年来最好的一部，比较有诚意的。,推荐,48
momo,看过,可惜豆瓣最高只有五星，不然我想打10星。AB两条线相辅相成，一个帮助女性洗脱死后被造黄谣的污蔑，一个帮助同学洗脱被冤枉的小事。爸爸和女儿到底是互相成就和鼓励了。结尾的可乐是把回旋镖，这个回旋镖把我刀死了。啊编剧导演牛逼！,力荐,133
乌鸦·空,看过,非常讨巧的题材掩盖不了贫瘠的内核,很差,57
乔乔吉,看过,3.5。大鹏真的很聪明，每一个设计都明摆着，就是冲着你的掌声和眼泪来的。可看性不低，但设计痕迹太明显，有用力过猛之嫌。另外，一个至关重要的问题是，如果最后查出来韩露真是坐台小姐，那她的坟就活该被挖吗？保你平安和金陵十三钗一样，看似动人的故事背后藏着一个充满偏见和糟粕的逻辑——女人没了贞洁，就低人一等，所以，要么不远万里不辞辛苦证明她不是坐台女，要么舍生取义换下女学生，用“污浊”的身体完成灵魂清白的自证。,还行,29
高詩遠,看过,看到的更多是大鹏的算计。因为是网暴题材，所以大鹏便把网络上曾经出现过的伤天害理的言论一股脑儿地，不加修饰地都搬上大银幕，导致无论是主角还是配角，所有的人物都是脸谱化的，毫无智商可言的，只能让人从中感受到命题作文式的虚假。为了一个所谓的真相，便不惜走上违法的道路，盗走他人财物（骨灰），妨碍司法机关工作，这种个人英雄主义的行为我实在不敢苟同。电影里是辟谣成功了之后，往日的受害者便可以在黄泉之下和爱人手牵手，可现实是李雪琴的那句“不管她做没做过坐台小姐，在别人说她是的那一刻，她就已经是了”。就算真是坐台小姐，被打入十八层地狱，急需一个男人帮忙立贞洁牌坊才是最恐怖的事。女儿在学校那条线更悲哀，恐吓他人，侵犯他人肖像权的女恶霸最后只被记过处分，这不仅是这个学校的无能，更说明了青少年保护法的漏洞与不足。,较差,233
倚风帘,看过,太喜欢这部电影的主题，以至于非常厌恶这部电影的表现方式。大鹏什么时候可以dowhatyouthinkisright？,还行,25
麻婆逗妇??,看过,编剧功力不行，魏平安的所有行事动机缺乏真正可以信服的理由，而这个理由应该通过细节呈现，而不是直白于台词，导致影片呈现流于表面，情节递进要多尬有多尬。全片贯穿始终的就是大鹏拼老命要证明韩露不是坐台小姐，这个立意……编剧团队意识形态落后可见一斑，职业不分贵贱，越想证明，越说明这个社会有病！人家做慈善，功德无量，就因为坐台小姐就低贱了？既然启用那么多喜剧演员，为什么不性别互换一下，去证明男的不是🦆呢？我想那要有趣得多了😏。,较差,161
装老阿姨的少年,看过,三星半，看得嘎嘎笑，非常成熟的作品。大鹏可以很敏锐地捕捉到现实中的某个适合记录和改编的元素，但是他有创作的局限，男性的个人英雄主义，相对的却是扁平的女性，偏见的同性恋笑话，视听不够出色元素杂糅。总体是真诚的，内核稍显陈旧。,还行,17
monica-li,看过,结尾大鹏终于澄清谣言之后，负债累累打工的场景，加一星,推荐,42
DeckardYang,看过,【3】是对英文片名“PostTruth”的一种挑战，而且大鹏很聪明，自知无法拥有一个深刻全面的社会学意义的视角，于是就写好一个小人物。好在有努力呈现当下生态，也反映出一些现象。一些神话式的机械降神情节反而最令人动容，这个时代若能有这样的良善可能确实是奇迹。（P.S.但根本的辟谣动机有一些身份歧视的局限性，不过确实也是社会现状）,还行,22
